id,question,choice_a,choice_b,choice_c,choice_d,answer,category,explanation
124,「マインドコントロール」と「回心」の説明として最も適切なものを選びなさい,どちらも本人の自主性を重視した視点である,マインドコントロールは本人の意識変化を重視し回心は外部からの強制を重視する,マインドコントロールは外部からの強制的影響を強調し回心は本人の宗教経験や意識変化を重視する,どちらも価値中立的な学術用語として広く使用されている,C,カルト問題,A：どちらも本人の自主性を重視した視点である（誤り。別の宗教・概念・数値・特徴を指す。） / B：マインドコントロールは本人の意識変化を重視し回心は外部からの強制を重視する（誤り。別の宗教・概念・数値・特徴を指す。） / C：マインドコントロールは外部からの強制的影響を強調し回心は本人の宗教経験や意識変化を重視する（正解。この設問の条件に合致する。） / D：どちらも価値中立的な学術用語として広く使用されている（誤り。別の宗教・概念・数値・特徴を指す。）
125,回心（conversion）の説明として正しいものを選びなさい,組織側の認知的枠組みを強制的に押し付けられる過程,啓示や悟りといった宗教経験を境に人格や生活様式が根本から変化する過程,脱会カウンセラーによって信仰を放棄させられる過程,社会心理学的な説得技法によって入信させられる過程,B,カルト問題,A：組織側の認知的枠組みを強制的に押し付けられる過程（誤り。別の宗教・概念・数値・特徴を指す。） / B：啓示や悟りといった宗教経験を境に人格や生活様式が根本から変化する過程（正解。この設問の条件に合致する。） / C：脱会カウンセラーによって信仰を放棄させられる過程（誤り。別の宗教・概念・数値・特徴を指す。） / D：社会心理学的な説得技法によって入信させられる過程（誤り。別の宗教・概念・数値・特徴を指す。）
126,櫻井義秀が述べる「社会的相当性」の説明として正しいものを選びなさい,宗教団体が法的に認められるための普遍的・絶対的な基準,人権や社会権によって期待されるべき規範や妥当性の基準であり時代に応じて変化する,宗教学者が定めた学術的な分類基準,国家が宗教団体を統制するための法律上の要件,B,カルト問題,A：宗教団体が法的に認められるための普遍的・絶対的な基準（誤り。別の宗教・概念・数値・特徴を指す。） / B：人権や社会権によって期待されるべき規範や妥当性の基準であり時代に応じて変化する（正解。この設問の条件に合致する。） / C：宗教学者が定めた学術的な分類基準（誤り。別の宗教・概念・数値・特徴を指す。） / D：国家が宗教団体を統制するための法律上の要件（誤り。別の宗教・概念・数値・特徴を指す。）
127,オウム真理教における「慈悲殺」の論理として正しいものを選びなさい,信者の修行の一環として動物を殺して供養する行為,悪人が悪を犯す前に命を絶つことでその人を救済するという考え,病気で苦しむ信者を安楽死させる行為,敵対する宗教団体を攻撃することで世界を浄化するという思想,B,カルト問題,A：信者の修行の一環として動物を殺して供養する行為（誤り。別の宗教・概念・数値・特徴を指す。） / B：悪人が悪を犯す前に命を絶つことでその人を救済するという考え（正解。この設問の条件に合致する。） / C：病気で苦しむ信者を安楽死させる行為（誤り。別の宗教・概念・数値・特徴を指す。） / D：敵対する宗教団体を攻撃することで世界を浄化するという思想（誤り。別の宗教・概念・数値・特徴を指す。）
128,中村生雄が提唱した「供犠の文化」の特徴として正しいものを選びなさい,殺した動物の霊を弔い定期的に浄化しようとする文化,動物を神の賜物とみなし神への返礼として捧げる文化,人と神の連続性を前提とし共食を重視する文化,仏教の不殺生理念に基づき動物を放つ文化,B,供犠・動物倫理,A：殺した動物の霊を弔い定期的に浄化しようとする文化（誤り。別の宗教・概念・数値・特徴を指す。） / B：動物を神の賜物とみなし神への返礼として捧げる文化（正解。この設問の条件に合致する。） / C：人と神の連続性を前提とし共食を重視する文化（誤り。別の宗教・概念・数値・特徴を指す。） / D：仏教の不殺生理念に基づき動物を放つ文化（誤り。別の宗教・概念・数値・特徴を指す。）
129,「供養の文化」の特徴として正しいものを選びなさい,創造神を持つ一神教圏で発達した,犠牲獣を完全に焼き尽くして神に捧げる,殺した動物の霊を弔い罪を定期的に確認しながら浄化しようとする,人と神の非連続性を前提とする,C,供犠・動物倫理,A：創造神を持つ一神教圏で発達した（誤り。別の宗教・概念・数値・特徴を指す。） / B：犠牲獣を完全に焼き尽くして神に捧げる（誤り。別の宗教・概念・数値・特徴を指す。） / C：殺した動物の霊を弔い罪を定期的に確認しながら浄化しようとする（正解。この設問の条件に合致する。） / D：人と神の非連続性を前提とする（誤り。別の宗教・概念・数値・特徴を指す。）
130,ユダヤ教の「全焼の供犠（燔祭、ホロコースト）」の説明として正しいものを選びなさい,犠牲獣の肉を神と人間が分け合って食べる儀式,犠牲獣を野に放って命を救う儀式,犠牲獣の全体が祭壇で焼き尽くされ骨と灰しか残らない儀式,犠牲獣の血を大地に撒いて豊穣を祈る儀式,C,供犠・動物倫理,A：犠牲獣の肉を神と人間が分け合って食べる儀式（誤り。別の宗教・概念・数値・特徴を指す。） / B：犠牲獣を野に放って命を救う儀式（誤り。別の宗教・概念・数値・特徴を指す。） / C：犠牲獣の全体が祭壇で焼き尽くされ骨と灰しか残らない儀式（正解。この設問の条件に合致する。） / D：犠牲獣の血を大地に撒いて豊穣を祈る儀式（誤り。別の宗教・概念・数値・特徴を指す。）
131,聖書（創世記）における人間と動物の関係の説明として正しいものを選びなさい,人間と動物は平等な存在として創造された,動物は人間の祖先として敬われるべき存在である,人間は神にかたどって創造され動物を支配する存在とされた,人間は動物から進化した存在として描かれている,C,供犠・動物倫理,A：人間と動物は平等な存在として創造された（誤り。別の宗教・概念・数値・特徴を指す。） / B：動物は人間の祖先として敬われるべき存在である（誤り。別の宗教・概念・数値・特徴を指す。） / C：人間は神にかたどって創造され動物を支配する存在とされた（正解。この設問の条件に合致する。） / D：人間は動物から進化した存在として描かれている（誤り。別の宗教・概念・数値・特徴を指す。）
132,「アニマルライツ（動物権）」の立場として正しいものを選びなさい,人間による動物の利用を認めるが苦痛を減らすべきとする,動物も人間と同等の権利を持ち食肉文化の徹底的な改革を目指す,動物の利用は栄養・環境・健康・行動・快適さの基準で判断すべきとする,伝統的な狩猟文化を維持しながら動物を保護すべきとする,B,供犠・動物倫理,A：人間による動物の利用を認めるが苦痛を減らすべきとする（誤り。別の宗教・概念・数値・特徴を指す。） / B：動物も人間と同等の権利を持ち食肉文化の徹底的な改革を目指す（正解。この設問の条件に合致する。） / C：動物の利用は栄養・環境・健康・行動・快適さの基準で判断すべきとする（誤り。別の宗教・概念・数値・特徴を指す。） / D：伝統的な狩猟文化を維持しながら動物を保護すべきとする（誤り。別の宗教・概念・数値・特徴を指す。）
133,「アニマルウェルフェア（動物福祉）」の立場として正しいものを選びなさい,動物も人間と同等の権利を持つため一切の利用を禁止すべきとする,動物であることで命を侵害することは種の差別であるとする,人間による動物の利用を認めるがなるべくその苦痛を減らしていくべきとする,食肉文化（カーニズム）のシステムを徹底的に改革すべきとする,C,供犠・動物倫理,A：動物も人間と同等の権利を持つため一切の利用を禁止すべきとする（誤り。別の宗教・概念・数値・特徴を指す。） / B：動物であることで命を侵害することは種の差別であるとする（誤り。別の宗教・概念・数値・特徴を指す。） / C：人間による動物の利用を認めるがなるべくその苦痛を減らしていくべきとする（正解。この設問の条件に合致する。） / D：食肉文化（カーニズム）のシステムを徹底的に改革すべきとする（誤り。別の宗教・概念・数値・特徴を指す。）
134,「放生会」の説明として正しいものを選びなさい,動物を犠牲として神に捧げ焼き尽くす儀式,仏教の不殺生の戒めに基づき鳥や魚を野や海に放って命を救う法会,狩猟で得た獲物を神前に並べて感謝する祭り,死んだ動物の霊を慰めるために塚を建てる行事,B,供犠・動物倫理,A：動物を犠牲として神に捧げ焼き尽くす儀式（誤り。別の宗教・概念・数値・特徴を指す。） / B：仏教の不殺生の戒めに基づき鳥や魚を野や海に放って命を救う法会（正解。この設問の条件に合致する。） / C：狩猟で得た獲物を神前に並べて感謝する祭り（誤り。別の宗教・概念・数値・特徴を指す。） / D：死んだ動物の霊を慰めるために塚を建てる行事（誤り。別の宗教・概念・数値・特徴を指す。）
135,日本における実験動物供養について正しいものを選びなさい,明治時代に西洋から導入された習慣である,最も古い記録は1917年の九州帝国大学での動物祭である,仏教の教義で禁止されているため現在は行われていない,政府の法律によって義務付けられている,B,供犠・動物倫理,A：明治時代に西洋から導入された習慣である（誤り。別の宗教・概念・数値・特徴を指す。） / B：最も古い記録は1917年の九州帝国大学での動物祭である（正解。この設問の条件に合致する。） / C：仏教の教義で禁止されているため現在は行われていない（誤り。別の宗教・概念・数値・特徴を指す。） / D：政府の法律によって義務付けられている（誤り。別の宗教・概念・数値・特徴を指す。）
136,1970年代以降英語圏を中心に動物倫理の議論が浮上した背景として授業で挙げられたものを選びなさい,宗教的な終末論の流行,J・S・ミルの功利主義の影響と人間と動物の境界線の再考,仏教の不殺生理念の世界的な普及,国際連合による動物保護条約の締結,B,供犠・動物倫理,A：宗教的な終末論の流行（誤り。別の宗教・概念・数値・特徴を指す。） / B：J・S・ミルの功利主義の影響と人間と動物の境界線の再考（正解。この設問の条件に合致する。） / C：仏教の不殺生理念の世界的な普及（誤り。別の宗教・概念・数値・特徴を指す。） / D：国際連合による動物保護条約の締結（誤り。別の宗教・概念・数値・特徴を指す。）
